"指導事項
コード",指導事項,"指導内容区分
コード",指導内容区分（変更後）,"指導内容
コード",指導内容（変更後）,,"作成マーク1：指導内容区分マスタにて登録
作成マーク2：指導内容マスタにて登録"
07,取引,02,斡旋,02,説明指導,,
07,取引,02,斡旋,03,専門家による指導,,
07,取引,02,斡旋,04,その他,,
07,取引,03,照会,01,情報提供,,
07,取引,03,照会,02,説明指導,,
07,取引,03,照会,03,専門家による指導,,
07,取引,03,照会,04,その他,,
07,取引,04,信用調査,01,情報提供,,
07,取引,04,信用調査,02,説明指導,,
07,取引,04,信用調査,03,専門家による指導,,
07,取引,04,信用調査,04,その他,,
07,取引,05,貿易・原産地証明,01,情報提供,,
07,取引,05,貿易・原産地証明,02,説明指導,,
07,取引,05,貿易・原産地証明,03,専門家による指導,,
07,取引,05,貿易・原産地証明,04,その他,,
07,取引,06,その他取引,01,情報提供,,
07,取引,06,その他取引,02,説明指導,,
07,取引,06,その他取引,03,専門家による指導,,
07,取引,06,その他取引,04,その他,,
08,環境対策,01,容器包装リサイクル法業務受託,01,情報提供,,
08,環境対策,01,容器包装リサイクル法業務受託,02,説明指導,,
08,環境対策,01,容器包装リサイクル法業務受託,03,作成指導,,
08,環境対策,01,容器包装リサイクル法業務受託,04,専門家による指導,,
08,環境対策,01,容器包装リサイクル法業務受託,05,その他,,
08,環境対策,02,環境関連法,01,情報提供,,
08,環境対策,02,環境関連法,02,説明指導,,
08,環境対策,02,環境関連法,03,作成指導,,
08,環境対策,02,環境関連法,04,専門家による指導,,
08,環境対策,02,環境関連法,05,その他,,
08,環境対策,03,その他・環境対策,01,情報提供,,
08,環境対策,03,その他・環境対策,02,説明指導,,
08,環境対策,03,その他・環境対策,03,作成指導,,
08,環境対策,03,その他・環境対策,04,専門家による指導,,
08,環境対策,03,その他・環境対策,05,その他,,
09,事業承継,01,親族内承継,01,情報提供,,
09,事業承継,01,親族内承継,02,説明指導,,
09,事業承継,01,親族内承継,03,作成指導,,
09,事業承継,01,親族内承継,04,専門家による指導,,
09,事業承継,01,親族内承継,05,その他,,
09,事業承継,02,従業員承継,01,情報提供,,
09,事業承継,02,従業員承継,02,説明指導,,
09,事業承継,02,従業員承継,03,作成指導,,
09,事業承継,02,従業員承継,04,専門家による指導,,
09,事業承継,02,従業員承継,05,その他,,
09,事業承継,03,第三者承継,01,情報提供,,
09,事業承継,03,第三者承継,02,説明指導,,
09,事業承継,03,第三者承継,03,作成指導,,
09,事業承継,03,第三者承継,04,専門家による指導,,
09,事業承継,03,第三者承継,05,その他,,
09,事業承継,04,その他・事業承継,01,情報提供,,
09,事業承継,04,その他・事業承継,02,説明指導,,
09,事業承継,04,その他・事業承継,03,作成指導,,
09,事業承継,04,その他・事業承継,04,専門家による指導,,
09,事業承継,04,その他・事業承継,05,その他,,
10,事業廃止,01,個人事業の廃止,01,情報提供,,
10,事業廃止,01,個人事業の廃止,02,説明指導,,
10,事業廃止,01,個人事業の廃止,03,作成指導,,
10,事業廃止,01,個人事業の廃止,04,専門家による指導,,
10,事業廃止,01,個人事業の廃止,05,その他,,
10,事業廃止,02,法人事業の廃止,01,情報提供,,
10,事業廃止,02,法人事業の廃止,02,説明指導,,
10,事業廃止,02,法人事業の廃止,03,作成指導,,
10,事業廃止,02,法人事業の廃止,04,専門家による指導,,
10,事業廃止,02,法人事業の廃止,05,その他,,
10,事業廃止,03,その他・事業廃止,01,情報提供,,
10,事業廃止,03,その他・事業廃止,02,説明指導,,
10,事業廃止,03,その他・事業廃止,03,作成指導,,
10,事業廃止,03,その他・事業廃止,04,専門家による指導,,
10,事業廃止,03,その他・事業廃止,05,その他,,
11,その他,01,資料配布(会報、総会資料　他),01,会報,,
11,その他,01,資料配布(会報、総会資料　他),02,総会資料,,
11,その他,01,資料配布(会報、総会資料　他),03,会議資料,,
11,その他,01,資料配布(会報、総会資料　他),04,事業案内(イベント等),,
11,その他,01,資料配布(会報、総会資料　他),05,その他,,
11,その他,02,集金,01,会費,,
11,その他,02,集金,02,貯蓄共済,,
11,その他,02,集金,03,その他共済,,
11,その他,02,集金,04,その他,,
11,その他,03,調査(経営に関しないもの),01,調査票配布,,
11,その他,03,調査(経営に関しないもの),02,調査票回収,,
11,その他,03,調査(経営に関しないもの),03,聞き取り,,
11,その他,03,調査(経営に関しないもの),04,その他,,
11,その他,04,連絡調整(地域振興事業・青年部女性部等,01,情報提供,,
11,その他,04,連絡調整(地域振興事業・青年部女性部等,02,説明,,
11,その他,04,連絡調整(地域振興事業・青年部女性部等,03,各種手続き,,
11,その他,04,連絡調整(地域振興事業・青年部女性部等,04,各種打合せ,,
11,その他,04,連絡調整(地域振興事業・青年部女性部等,05,その他,,
11,その他,05,その他,01,情報提供,,
11,その他,05,その他,02,説明,,
11,その他,05,その他,03,各種手続き,,
11,その他,05,その他,04,各種打合せ,,
11,その他,05,その他,05,その他,,
,,,,,,,
